name,credits,prereqs,coursenum,offeredin,description,department
"Practicum in Public Achievement-Seminar I",1,null,EDC331,null,"This course advances the idea of democracy as a society created through the public work of everyday citizens. That workmay occur in schools or community organizations but it requires participants to think about their place as citizenprofessionals and in other civic roles as agents and architects of democracy. It will address how to effectively createchange and examine concepts and ideas central to the role of the citizen in public life and provide a knowledge baseabout basic organizing for the public good, whether it be in schools or the broader community. Both EDC 330 and EDC331 will run over the span of two semesters. Field experience in a public achievement setting is required.",
"Building the Public Good: Public Achievement and Organizing: Seminar II",1,null,EDC332,null,,
"Practicum in Public Achievement-Practicum II",1,null,EDC333,null,,
"International Education",3,null,EDC353,null,"This course presents an examination and comparison of selected Western and non-Western educational systems as wellas an investigation of possible careers in international education.",
Internship,2,null,EDC397,null,,
Internship,4,null,EDC399,null,,
"Learners with Special Needs",3,null,EDC410,null,"The study of students with disability, special needs, and giftedness. Emphasis on techniques and resources to help allstudents achieve maximum outcomes, and special focus on needs of urban students. Fieldwork experience required.",
"Student Teaching: Initial License (12-14 weeks)",8,null,EDC481,null,"Full-time, supervised classroom experience. Required for licensure.",
"Student Teaching: Endorsement",4,null,EDC482,null,"Full-time, supervised classroom experience. Required for licensure.",
"Student Teaching: Initial License in PE, Music, Art, or ESL",1,null,EDC483,null,"Full-time, supervised classroom experience. Required for licensure.",
"Student Teaching: Initial License - Extended Experience (16 weeks)",1,null,EDC484,null,"Full-time, supervised classroom experience. Required for licensure.",
"Topics in Education",2,null,EDC488,null,,
"School and Society",3,null,EDC490,null,"Emphasis on points of view about the role of school in modern society, relationships with parents and community,collaborative models, leadership, and professional development. Serves as final theoretical preparation for studentteaching.",
"Independent Study",2,null,EDC498,null,,
"Independent Study",4,null,EDC499,null,,
"Graduate Pro-Seminar",1,null,EDC501,null,,
"Research Methods",3,null,EDC514,null,"Evaluation and documentation of programs, projects, and ideas as they relate to leadership theories and practice.Qualitative and quantitative tools will be discussed.",
"Orientation to Education in an Urban Setting",3,null,EDC522,null,"Career exploration and overview of the teaching profession. Emphasis on historical and philosophical foundations of theAmerican school system. Field service experience in an urban P-12 school is required.",
"Learning and Development in an Educational Setting",3,null,EDC533,null,"A survey of educational psychology topics as applied to teaching and learning. Special emphasis is placed on classroomapplications of theoretical constructs.",
"Learners with Special Needs",3,null,EDC544,null,"The study of students with disability, special needs, and giftedness. Emphasis on techniques and resources to help allstudents achieve maximum outcomes, and special focus on needs of urban students. Fieldwork experience required.",
"International Education",3,null,EDC553,null,"This course presents an examination and comparison of selected Western and non-Western educational systems as wellas an investigation of possible careers in international education.",
"Diversity/Minnesota American Indians",3,null,EDC566,null,"This course will examine human diversity and human relations. It will provide an awareness and critical analysis of howprejudice, discrimination, and stereotypes impact us personally, as well as how these elements impact our schools andcommunities. Also addressed in this course is the Minnesota Standard of Effective Practice 3.G: Understand the culturalcontent, worldview, and concepts that comprise Minnesota-based American Indian tribal government, history, language,and culture.",
"Teacher Leadership",3,null,EDC570,null,"This course will explore generative questions about leadership, change, and our own paradigms, visions and values. Wewill investigate what it means to be a teacher leader and the ways in which teachers provide leadership. Examiningtheoretical models and conceptual frame works from interdisciplinary fields will offer a variety of perspectives forproviding effective teacher leadership. Participants will also have an opportunity to reflect on the foundational questionof ï¿½who am I as a leaderï¿½.",
